location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude
3246957,Belgrade BIG Fashion Park,pm1,40.45000013,åµg/må?,2024-11-09T13:00:00Z,2024-11-09T14:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,pm10,84.4666659,åµg/må?,2024-11-09T13:00:00Z,2024-11-09T14:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,pm25,73.28333282,åµg/må?,2024-11-09T13:00:00Z,2024-11-09T14:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,relativehumidity,35.78333346,%,2024-11-09T13:00:00Z,2024-11-09T14:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,temperature,19.86416642,c,2024-11-09T13:00:00Z,2024-11-09T14:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,pm1,61.49583308,åµg/må?,2024-11-09T14:00:00Z,2024-11-09T15:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,pm10,133.8604164,åµg/må?,2024-11-09T14:00:00Z,2024-11-09T15:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,pm25,115.204167,åµg/må?,2024-11-09T14:00:00Z,2024-11-09T15:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,relativehumidity,51.74999968,%,2024-11-09T14:00:00Z,2024-11-09T15:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,temperature,11.35395813,c,2024-11-09T14:00:00Z,2024-11-09T15:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,pm1,61.22499975,åµg/må?,2024-11-09T15:00:00Z,2024-11-09T16:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,pm10,135.1854172,åµg/må?,2024-11-09T15:00:00Z,2024-11-09T16:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,pm25,115.7291667,åµg/må?,2024-11-09T15:00:00Z,2024-11-09T16:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
3246957,Belgrade BIG Fashion Park,relativehumidity,57.07499981,%,2024-11-09T15:00:00Z,2024-11-09T16:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123
